title,company,summary,job_location,post_date,salary,availability
Cloud Engineer - GCP/Azure,WELLS FARGO BANK,"This role will work with an Agile process to take stories from the backlog and deliver for our customers.
This role will be focused on components within the…","Charlotte, NC+1 location",Posted12 days ago,None,Full-time
Software Engineer w/AWS,ZM Financial Systems,"Lead and provide technical leadership to architects, developers, engineers, and operators in geographically dispersed location.","Charlotte, NC+1 location",Posted30+ days ago,Estimated $112K - $141K a year,Full-time
Machine Learning Engineer,Microsoft,The goal of the Microsoft Cloud Data Sciences (MCDS) team is to foster a data-driven culture; to encourage and enable the entire organization to make more…,"Charlotte, NC",Posted30+ days ago,None,Full-time
Converge - Machine Learning Engineer,Deloitte,Work with the DecisionEQ Product Manager and Product Owner to understand market needs and determine how machine learning and broader data science techniques…,"Charlotte, NC 28202 (Downtown Charlotte area)",Posted30+ days ago,None,Full-time
Cloud Software Developer,Accenture,"The team has senior developers that will continuously be involved in coaching and technical mentoring.
Team members regularly speak at industry wide conferences…","Charlotte, NC 28244 (Downtown Charlotte area)",Posted30+ days ago,None,Full-time
DevOps Consultant,Deloitte,"Design, implement, and manage DevOps capabilities in cloud offerings using CI/CD toolsets and automation.
Ensure DevOps systems we build are robust in the sense…","Charlotte, NC 28202 (Downtown Charlotte area)+5 locations",Posted30+ days ago,None,Full-time
Senior Software Engineer,"Epiq Systems, Inc.","Proactively mentor fellow developers in areas of expertise.
Collaborate with fellow developers in areas of expertise as well as members of business unit.","Charlotte, NC",Posted30+ days ago,Estimated $106K - $134K a year,Full-time
newLead Software Engineer,WELLS FARGO BANK,"Lead complex technology initiatives including those that are companywide with broad impact.
Act as a key participant in developing standards and companywide…","Charlotte, NC+5 locations",Posted4 days ago,None,Full-time
"Staff Engineer - Opportunity for Working Remotely Charlotte,...",VMware,"As the Staff Engineer you will drive the team to translate this vision into a scalable, carrier grade, NFV, Telco Cloud and edge computing solution to address…","Remote in Charlotte, NC+2 locations",Posted30+ days ago,None,Full-time
Cloud DevOps Engineer,Citco,"As a Cloud DevOps Engineer, you will be working as part of a cross-functional team and will be responsible for designing and implementing re-usable frameworks,…","Charlotte, NC 28244 (Fourth Ward area)",Posted27 days ago,Estimated $107K - $136K a year,Full-time
